;tsne1;tsne2
394;-3.452604;-12.048771
395;-3.3568876;-11.1607
396;-2.7940187;-8.792433
397;-2.5185888;-6.220493
398;-2.4810855;-5.817634
399;-3.132237;-11.606239
400;33.487274;-7.4662037
401;33.989487;-7.6330514
402;33.63427;-8.132383
403;32.994854;-8.18309
404;32.873775;-7.469804
405;32.557594;-7.7904005
406;32.526028;-7.9132895
407;32.993374;-8.5925255
408;33.57062;-8.1806135
409;34.41926;-8.694183
410;34.465946;-8.163474
411;34.338898;-8.590104
412;33.855236;-8.836138
413;33.574787;-7.197314
414;33.279808;-9.841272
415;33.472942;-10.659961
416;33.7972;-11.40593
417;32.277493;-10.551736
418;33.27014;-10.454648
419;31.923145;-9.786031
420;32.45108;-10.074636
421;32.62911;-10.190498
422;32.626823;-10.102122
423;32.320427;-9.210101
424;32.35029;-9.505641
425;13.366369;-21.666847
426;12.877446;-21.59789
427;12.84315;-21.64953
428;12.705675;-21.161674
429;14.1079;-21.988218
430;13.92207;-21.24509
431;13.555267;-20.984007
432;13.610678;-20.660595
433;13.347908;-20.951832
434;13.215914;-22.065569
435;13.603992;-22.1302
436;13.422348;-22.352207
437;13.938261;-22.446287
438;7.442341;-17.749956
439;8.781908;-18.10773
440;7.5831866;-17.811619
441;8.02728;-18.070337
442;8.074774;-18.665586
443;8.052861;-18.676125
444;8.321197;-18.73622
445;8.541492;-18.718393
446;8.317333;-18.75535
447;10.348621;-19.541018
448;10.323646;-19.528685
449;10.318616;-19.52239
450;-20.33949;19.07871
451;-20.790127;19.301588
452;-20.340939;18.422565
453;-19.880064;19.030407
454;-19.966444;19.825188
455;-20.681679;18.722034
456;-20.432817;19.826727
457;-20.824026;19.77059
458;-19.950222;18.693798
459;-19.475937;18.98482
460;-19.565065;18.397724
461;-19.968975;19.522795
462;-15.986894;13.825611
463;-17.682974;14.433993
464;-18.416693;14.934865
465;-18.462593;15.713854
466;-18.249352;15.569721
467;-18.254555;15.09987
468;-16.781536;19.30264
469;-17.275402;19.120548
470;-17.733616;18.861078
471;-19.11351;17.317163
472;-18.978937;17.628496
473;-19.050644;17.679909
474;-17.72175;19.104296
475;15.348021;-1.4484638
476;14.958599;-2.3689485
477;14.37406;-2.0893028
478;14.445465;-1.6655375
479;16.04187;-1.6234114
480;15.134401;-1.2407596
481;16.0711;-1.6114428
482;15.840077;-1.2508503
483;15.132711;-1.2484597
484;15.683968;-2.1897497
485;15.122348;-2.0169466
486;15.5033655;-2.4390085
487;13.545231;-2.867648
488;13.1556;-3.2242959
489;11.565004;-3.354752
490;11.388737;-3.3600464
491;11.279508;-3.364975
492;10.842899;-3.56628
493;11.293615;-3.9691741
494;11.460385;-4.2755017
495;14.365157;-3.118835
496;14.54064;-3.2781577
497;14.656005;-3.2711751
498;13.631307;-3.6099265
499;14.915668;-3.4295022
